,plot_name,plot_id,Amazonian,RADD
0,Las Brisas,1913,No intersection,No intersection
1,lotes,1914,No intersection,No intersection
2,Lote,1915,No intersection,No intersection
3,El viso,1937,No intersection,No intersection
4,Salamanca,1938,No intersection,No intersection
5,Buena vista,1940,No intersection,No intersection
6,Buenos Aires,1965,No intersection,No intersection
7,La Aldea,1967,No intersection,No intersection
8,La Ladera,1998,No intersection,No intersection
9,Aposentos,2009,No intersection,No intersection
10,Larguero,1995,No intersection,No intersection
11,Guayamba,4483,No intersection,No intersection
12,Las Rocas,2018,No intersection,No intersection
13,Miraflores,2022,No intersection,No intersection
14,Los Pinos,2023,No intersection,No intersection
15,La Reforma,2024,No intersection,No intersection
16,Miraflores,2025,No intersection,No intersection
17,La Esperanza,2026,No intersection,No intersection
18,La Piñala,2028,No intersection,No intersection
19,El Carmen,4086,No intersection,No intersection
20,La Envidia ,4097,No intersection,No intersection
21,Miraflores,4099,No intersection,No intersection
22,Albania,2032,No intersection,No intersection
23,El Nacedero,2036,No intersection,No intersection
24,El Porvenir,2037,No intersection,No intersection
25,Buenos Aires,2038,No intersection,No intersection
26,Porvenir,3587,No intersection,No intersection
27,Palmar,3639,No intersection,No intersection
28,Lote Alvaro,3779,No intersection,No intersection
29,La Caleña,4078,No intersection,No intersection
30,Lote Cucho,4084,No intersection,No intersection
31,Deiner,4085,No intersection,No intersection
32,Buena Vista,4418,No intersection,No intersection
33,La Argentina,4100,No intersection,No intersection
34,El Playon,4101,No intersection,No intersection
35,Villa Esperanza ,4102,No intersection,No intersection
36,La Esperanza,4103,No intersection,No intersection
37,Villarruel,4104,No intersection,No intersection
38,Buena vista La loma,4346,No intersection,No intersection
39,Papayalta,4419,No intersection,No intersection
40,Las Juntas,4484,No intersection,No intersection
41,Buena Vista,4485,No intersection,No intersection
